title,rating,year,poster_path,overview
Operação Vingança,7.0,2025,/bAQAGxxqwK8bcqEYLEo6cN7UNn6.jpg,"Depois que sua esposa é tragicamente morta em um ataque terrorista em Londres, um criptógrafo da CIA exige que seus chefes vão atrás dos assassinos. Quando fica claro que eles não agirão devido a prioridades internas conflitantes, ele chantageia a agência para treiná-lo e deixá-lo ir atrás deles sozinho."
Extermínio: A Evolução,7.2,2025,/rN1G5YsRS5pzCx3hdkEBN8NKn2R.jpg,"Já se passaram quase três décadas desde que o vírus da raiva escapou de um laboratório de armas biológicas. Agora, sob uma quarentena rigidamente imposta, alguns conseguiram encontrar maneiras de sobreviver em meio aos infectados. Um desses grupos vive em uma pequena ilha, ligada ao continente por uma única passagem fortemente protegida. Quando um dos membros parte em uma missão rumo ao sombrio coração do continente, ele descobre segredos, maravilhas e horrores que transformaram não apenas os infectados, mas também outros sobreviventes."
Diablo: Caçada Mortal,7.4,2025,/7F14PGXPEZCJ1Fj0wC1EtzVemkD.jpg,"Depois de ser libertada da prisão, Kris Chaney sequestra Elisa, filha de um gângster, iniciando uma caçada por seu pai e pelo assassino El Corvo. Kris deve fugir de ambos para cumprir uma promessa oculta e revelar a verdade a Elisa."
A Trindade Profana,6.7,2025,/oE9JPR27sJVrfA3i9wYae1T9C4j.jpg,"Ambientado no turbulento cenário de Montana na década de 1870, momentos antes da execução de Isaac Broadway, ele dá ao seu filho distante, Henry, uma tarefa impossível: assassinar o homem que o incriminou por um crime que não cometeu. Determinado a cumprir sua promessa, Henry viaja para a remota cidade de Trinity, onde uma reviravolta inesperada o aprisiona na cidade e o deixa preso entre Gabriel Dove, o novo e honrado xerife da cidade, e uma figura misteriosa chamada São Cristóvão."
Dose Dupla,5.6,2024,/gvWk6HFzZxULDuG8BI16RvbJ3g8.jpg,"Acompanha um agente da polícia de Nova Iorque e a sua parceira novata, Angela, num dia difícil em que vivem o trabalho perigoso e rotineiro de ser agente na cidade."
Jurassic World: Domínio,6.7,2022,/w6Jz1AgjscqBuS8qXBd0wUHz5zC.jpg,"Quatro anos após a destruição da Ilha Nublar, os dinossauros agora vivem – e caçam – ao lado de humanos em todo o mundo. Esse frágil equilíbrio remodelará o futuro e determinará, de uma vez por todas, se os seres humanos continuarão sendo os principais predadores em um planeta que agora compartilham com as criaturas mais temíveis da história."
Resgate Implacável,6.7,2025,/iT6yYCAuMQwm1PV4nByrsrsIOhG.jpg,"Ele quer viver uma vida simples e ser um bom pai para sua filha. Mas quando a filha adolescente de seu chefe, Jenny, desaparece, ele é chamado para reempregar as habilidades que o tornaram uma figura lendária nas operações secretas."
M3GAN 2.0,7.2,2025,/q2PIq2SwizKNzWD37KBV1TH10fc.jpg,"Uma arma robótica de nível militar conhecida como Amelia torna-se cada vez mais autoconsciente e perigosa para a raça humana. Na esperança de detê-la, Gemma decide ressuscitar M3GAN, tornando-a mais rápida, forte e letal."
O Contador 2,7.2,2025,/qWCgzVymNRJo2RyukwDaDA0eK1c.jpg,"Quando um conhecido é assassinado, deixando para trás uma mensagem enigmática, Christian Wolff se sente compelido a resolver o caso. Percebendo que medidas extremas são necessárias, Wolff recruta seu irmão distante e altamente letal, Brax, e os dois descobrem uma conspiração mortal, tornando-se alvos de uma rede de assassinos."
Moana 2,7.1,2024,/A1NUWVjoKzWzOdGE01NHquyubkx.jpg,"Depois de receber um chamado inesperado de seus ancestrais navegadores, Moana vai viajar para mares distantes da Oceania, em águas perdidas em uma aventura perigosa."
Predador: Assassino de Assassinos,8.0,2025,/xz02mXRmFclUQhNnkXpwYHE6mVL.jpg,"Essa antologia animada original acompanha três dos guerreiros mais determinados da história da humanidade: uma pirata viking que guia o filho em uma busca sangrenta por vingança, um ninja no Japão feudal que se volta contra o irmão samurai em uma batalha brutal pela sucessão e um piloto da Segunda Guerra Mundial que voa para investigar uma ameaça sobrenatural à causa aliada."
Minha Culpa,7.8,2023,/a59iGvF609yAZ5tfZUoQ3XipeQH.jpg,"Noah é obrigada a mudar de cidade, deixando seus amigos e namorado para trás, após sua mãe se casar com um novo marido rico. Lá ela conhece Nick, seu novo meio-irmão, e os dois se apaixonam loucamente, vivendo um grande romance proibido."
Round 6: Temporada 2 - Making Of,8.5,2025,/yQGaui0bQ5Ai3KIFBB45nTeIqad.jpg,Dos detalhes dos cenários aos arcos dos personagens: confira entrevistas com o elenco e o diretor sobre os bastidores da segunda temporada da série mais vista do mundo.
O Palhaço no Milharal,6.3,2025,/6XXXXSH4jU6W2qba9SLlKTlT6ak.jpg,"Quinn e o pai se mudam para Kettle Springs em busca de um recomeço, mas acabam se deparando com uma comunidade que enfrenta dificuldades desde que a fábrica de xarope de milho Baypen pegou fogo. Enquanto os moradores brigam entre si, uma figura emerge dos milharais para purificar a cidade, uma vítima de cada vez. Bem-vindo a Kettle Springs. A diversão só começa quando Frendo aparece para brincar."
Até a Última Gota,7.9,2025,/t3nmSPWX5MOKdpAuTb2t5g69BT3.jpg,"Até onde ela vai aguentar? Após um dia devastador, uma mãe solo dedicada chega ao seu limite e comete um ato de desespero que ninguém poderia prever."
A Meia-irmã Feia,7.2,2025,/lgO9ZdNe2ikRmQbLYnSHPxgunyP.jpg,"Em um reino de conto de fadas onde a beleza é um negócio brutal, Elvira luta para competir com sua meia-irmã incrivelmente linda, e ela fará de tudo para chamar a atenção do príncipe. Uma versão moderna e bem diferente do Conto da ""Cinderela""."
Capitão América: Admirável Mundo Novo,6.0,2025,/yWOtVhuwJ6f5j9ELD2k3wKELEln.jpg,"Após se encontrar com o recém-eleito presidente dos EUA, Thaddeus Ross, Sam se vê no meio de um incidente internacional. Ele deve descobrir o motivo por trás de uma conspiração global nefasta antes que o verdadeiro gênio faça o mundo inteiro ser dominado pelo vermelho."
Branca de Neve,4.3,2025,/t0mabA2l3KE9Ai350BEKz61Ltor.jpg,"Quando a Rainha Má manda matarem sua enteada por inveja de sua beleza, Branca de Neve foge do reino. Ela percorre a floresta e acha uma casinha onde vivem sete anões amigáveis com quem passa viver. Porém, a moça ainda não está a salvo, já que a bruxa planeja dar um fim a sua vida com uma maçã envenenada."
Sonic 3: O Filme,7.7,2024,/tfM1T6tAivjvy0sLwt6Y9WvlmzB.jpg,"Sonic, Knuckles e Tails se reúnem contra um novo e poderoso adversário, Shadow, um vilão misterioso com poderes diferentes de tudo que eles já enfrentaram antes. Com suas habilidades superadas em todos os sentidos, a Equipe Sonic deve buscar uma aliança improvável na esperança de parar Shadow e proteger o planeta."
Jurassic World: O Mundo dos Dinossauros,6.7,2015,/hMvpXTXokWPsyj9nr8TokmIvAfz.jpg,"Vinte e dois anos depois dos acontecimentos em Jurassic Park, a Isla Nublar foi transformada num enorme parque temático bem sucedido, o Jurassic Wold, com versões “domesticadas” de alguns dos dinossauros mais conhecidos. Quando tudo parece correr bem e ser o negócio do século, um novo dinossauro de espécie desconhecida, por ter sido criado através da manipulação genética de seu DNA, e que se revela muito mais inteligente do que se pensava, escapa de seu confinamento e começa a causar estragos entre os visitantes do Parque."
Improvisação Perigosa,6.7,2025,/AdnYxdx0w1LYiXlkSDSk62MdC71.jpg,"Kat é uma professora de humor de improvisação que começa a questionar se perdeu sua chance ao sucesso. Quando um policial disfarçado oferece a ela um papel decisivo, ela recruta dois de seus alunos para se infiltrarem nas gangues de Londres disfarçados de criminosos perigosos."
Jurassic World: Reino Ameaçado,6.5,2018,/7xykpkKqfBfDgEKvS4jqpFF0S4K.jpg,"Quatro anos após o fechamento do Jurassic World, um vulcão prestes a entrar em erupção põe em risco a vida na ilha Nublar. No local não há mais qualquer presença humana, com os dinossauros vivendo livremente. Diante da situação, é preciso tomar uma decisão: deve-se retornar à ilha para salvar os animais ou abandoná-los para uma nova extinção? Decidida a resgatá-los, Claire convoca Owen a retornar à ilha com ela."
